time (ms),Cell 1,Cell 2,Cell 3,Cell 4,Cell 5,Cell 6,Cell 7,Cell 8,Cell 9,Cell 10,Cell 11,Cell 12,Cell 13,Cell 14,Cell 15,UV\OV Fault
0,40830,40839,40839,40851,40826,40819,40841,40818,40832,40827,40811,40845,40805,40850,40760,0
0.1,40829,40838,40838,40852,40825,40819,40843,40817,40832,40826,40812,40846,40804,40848,40760,0
0.2,40829,40839,40838,40852,40824,40819,40840,40818,40832,40826,40811,40845,40804,40849,40760,0
0.30000000000000004,40830,40838,40837,40850,40824,40819,40842,40818,40832,40827,40812,40844,40804,40850,40759,0
0.4,40830,40838,40837,40851,40823,40819,40841,40818,40830,40825,40811,40844,40805,40850,40759,0
0.5,40830,40840,40838,40852,40825,40819,40841,40818,40831,40826,40812,40844,40804,40849,40758,0
0.6,40830,40837,40837,40850,40824,40818,40841,40818,40833,40827,40812,40844,40805,40849,40759,0
0.7,40830,40840,40837,40852,40825,40819,40841,40818,40831,40827,40812,40846,40805,40848,40760,0
0.7999999999999999,40829,40838,40837,40852,40825,40819,40841,40818,40831,40826,40811,40846,40806,40848,40760,0
0.8999999999999999,40830,40838,40838,40851,40824,40819,40841,40818,40831,40825,40812,40846,40806,40850,40759,0
0.9999999999999999,40830,40839,40837,40850,40823,40818,40841,40818,40831,40826,40811,40845,40805,40849,40759,0
1.0999999999999999,40830,40839,40839,40852,40825,40820,40842,40818,40831,40827,40810,40844,40804,40848,40759,0
1.2,40829,40838,40837,40851,40825,40819,40842,40818,40832,40828,40812,40846,40805,40850,40761,0
1.3,40830,40839,40839,40852,40825,40819,40842,40818,40831,40827,40812,40845,40805,40849,40759,0
1.4000000000000001,40829,40839,40837,40851,40824,40818,40842,40819,40832,40828,40812,40847,40805,40848,40758,0
1.5000000000000002,40831,40838,40839,40852,40825,40819,40842,40818,40832,40826,40812,40845,40804,40849,40759,0
1.6000000000000003,40829,40837,40837,40852,40825,40820,40842,40819,40831,40827,40812,40846,40804,40848,40759,0
1.7000000000000004,40830,40839,40837,40851,40825,40818,40842,40817,40832,40827,40810,40845,40805,40849,40759,0
1.8000000000000005,40830,40838,40837,40851,40825,40818,40841,40819,40831,40825,40811,40845,40805,40848,40759,0
1.9000000000000006,40830,40839,40838,40850,40824,40819,40842,40818,40831,40827,40811,40845,40804,40849,40758,0
2.0000000000000004,40828,40839,40838,40852,40826,40819,40841,40818,40832,40826,40812,40845,40805,40850,40759,0
2.1000000000000005,40833,40838,40838,40851,40824,40819,40841,40817,40831,40825,40811,40845,40805,40850,40760,0
2.2000000000000006,40831,40838,40837,40851,40823,40818,40841,40817,40831,40825,40812,40845,40804,40850,40759,0
2.3000000000000007,40830,40838,40839,40852,40825,40820,40842,40818,40830,40826,40811,40844,40805,40850,40760,0
2.400000000000001,40830,40839,40838,40851,40824,40819,40841,40819,40832,40827,40810,40844,40804,40849,40760,0
2.500000000000001,40829,40838,40838,40851,40825,40818,40841,40817,40832,40826,40811,40845,40804,40850,40760,0
2.600000000000001,40830,40837,40838,40850,40824,40819,40842,40818,40831,40827,40812,40845,40805,40849,40760,0
2.700000000000001,40830,40837,40838,40851,40825,40819,40841,40819,40832,40827,40811,40845,40805,40848,40760,0
2.800000000000001,40830,40839,40837,40851,40825,40819,40841,40817,40832,40826,40812,40846,40805,40850,40760,0
2.9000000000000012,40831,40839,40838,40851,40825,40819,40842,40818,40831,40828,40810,40844,40806,40850,40760,0
3.0000000000000013,40829,40840,40837,40853,40824,40820,40842,40818,40832,40828,40812,40847,40806,40849,40759,0
3.1000000000000014,40830,40837,40837,40851,40825,40819,40842,40819,40832,40827,40811,40844,40805,40849,40759,0
3.2000000000000015,40829,40837,40837,40851,40824,40819,40841,40818,40831,40827,40811,40845,40804,40849,40760,0
3.3000000000000016,40831,40839,40838,40851,40824,40820,40841,40817,40831,40827,40811,40845,40806,40848,40760,0
3.4000000000000017,40830,40840,40838,40851,40825,40819,40842,40818,40831,40826,40813,40846,40804,40850,40759,0
3.5000000000000018,40831,40839,40839,40852,40824,40818,40842,40818,40830,40827,40812,40847,40805,40850,40760,0
3.600000000000002,40830,40838,40839,40851,40825,40818,40840,40818,40831,40827,40810,40845,40804,40848,40759,0
